"PRODUCT -   Medium technology manufactures: process (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"  Emerging markets: America",106230.693,142090.801,207609.578,171991.772,85105.974,160735.504,172917.741,310849.805,794276.763,597445.076,925989.217,785062.024,1424276.425,1146497.079,2380268.592,1767116.573,1905687.619,1899339.22,1614408.279,1440790.724,1513391.578,1191384.402,1481838.841
"  Emerging markets: Asia",13999153.334,13929008.279,15041632.521,13492487.545,14093219.972,18020073.938,17870034.308,20083379.265,25211221.294,33559991.744,39719583.252,44672603.659,50058696.629,50991306.351,48646804.123,65507818.175,77863029.726,75490940.197,73665016.2,70699080.264,61855541.8,59777664.594,66643554.417
"  Emerging markets: Europe and Kazakhstan",1736170.856,1915536.128,1586860.853,1078076.471,1362644.605,1381291.687,1226832.054,1220550.082,1398212.059,1879352.722,2006366.32,2335650.542,2474032.395,2832107.891,2945435.186,2543349.354,3099036.41,3534173.918,2404177.682,2306864.711,1944448.221,1923279.424,2344191.622
"Africa excluding South Africa",67824.92600000001,22307.637,51244.877,81275.53,47667.276,24711.281,45510.979,39940.57,62026.462,79313.57799999999,103532.07,115978.126,74960.28,204650.68,284583.638,267046.912,162569.757,239506.834,157139.98,223570.672,155340.163,153746.036,253730.444
"Northern Africa excluding Sudan",66794.677,21024.332,50191.294,79934.64,46866.669,23751.817,41936.558,34960.993,60742.991,77254.932,92648.663,105014.872,47544,171174.761,235986.69,167790.347,76763.091,163376,84721.299,85041.958,57571.855,48942.079,71753.393
"Sub-Saharan Africa",56489.538,59334.185,61447.871,55127.399,53494.41,63155.092,64677.32,36323.412,91462.606,132976.603,120915.31,201263.446,681954.499,600689.562,999244.956,1192431.24,1413534.028,972206.817,1316804.701,1443061.755,1546974.843,1416801.377,1150019.12
"Sub-Saharan Africa excluding South Africa",1030.249,1283.305,1053.583,1340.89,800.607,959.4640000000001,3574.421,4979.577,1283.471,2058.646,10883.407,10963.254,27416.28,33475.919,48596.948,99256.565,85806.666,76130.834,72418.681,138528.714,97768.30800000001,104803.957,181977.051
"South America excluding Brazil",55428.068,28435.774,58792.847,49543.724,47278.136,57160.404,78971.477,129899.015,202582.564,296966.274,470837.695,375166.963,899122.789,440965.387,715839.8270000001,826175.8490000001,649259.0649999999,647584.6629999999,513325.385,384834.57,367421.821,190484.636,299444.029
"Central America and Greater Caribbean Islands excluding Mexico and Puerto Rico",97.346,72.18000000000001,99.58499999999999,191.371,119.758,214.985,620.999,323.132,1252.976,12031.366,30726.043,67180.91899999999,121884.157,81367.606,8793.780000000001,15094.644,106761.517,230556.606,107809.326,21742.593,66812.296,68005.66899999999,40939.824
"South America and Central America",106414.875,142975.35,207937.976,172505.161,85190.996,160949.178,173023.581,311193.378,794929.57,600479.747,937582.382,793634.157,1431728.797,1155614.451,2388922.642,1781514.985,1923864.572,1912845.259,1630427.241,1455261.276,1577165.098,1244666.719,1505560.787
