"PRODUCT -   High technology manufactures: other (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Central America and Greater Caribbean Islands excluding Mexico and Puerto Rico",215.954,53.34,123.025,337.177,36.194,205.399,272.415,1022.422,214.839,747.537,929.829,2517.071,1143.439,1894.048,1408.623,1825.03,1934.599,6394.813,7301.912,9830.77,17831.675,9749.802,19328.893
"South America and Central America",1398.699,3776.057,6921.634,2894.989,1268.818,43122.99,107760.367,15525.019,28051.06,48287.83,32696.023,40348.974,102604.156,295026.32,400218.29,455923.558,722947.095,1021291.087,488063.535,333874.215,330136.585,492871.407,569322.818
"Southern Asia excluding India",168.973,102.421,264.905,475.971,367.964,1879.628,568.259,373.263,1820.596,3517.269,3333.039,4822.062,3700.248,3310.895,2642.321,8491.357,6766.13,6957.452,10291.207,11683.61,10501.72,23309.37,38632.454
"Eastern, Southern and South-Eastern Asia",1602030.166,1907222.856,2154523.786,2274870.66,2497792.969,3349472.845,3779872.092,3770118.598,7794102.85,13113264.651,17141199.278,20000822.037,27397291.107,32865588.109,30219780.058,42610945.606,44097389.552,46237084.627,43643513.686,40995947.237,37950907.881,35008461.892,36802199.624
"Eastern and South-Eastern Asia excluding China",1592073.627,1889319.749,2130450.326,2248034.719,2470767.734,3323502.7,3739603.029,3720713.543,7747627.318,13069906.098,17069743.92,19942302.872,27312388.12,32778305.639,30119492.594,42483458.732,43939149.02,46075883.027,43257171.255,40533807.202,37803906.45,34867299.476,36546727.792
"ACP (African, Caribbean and Pacific Group of States)",1859.46,2128.27,2375.32,2749.665,4919.043,3504.06,1064.297,1770.554,2153.89,5579.288,8713.878000000001,39003.407,51711.806,77851.241,30133.978,146917.107,85380.91899999999,74485.175,75271.825,97671.601,74526.41,72447.538,108087.42
"ACP (African, Caribbean and Pacific Group of States): LDCs (Least developed countries)","..",38.468,60,"..",37.976,542.124,69.21299999999999,56.662,14.762,89.512,211.166,446.945,169.498,776,441.849,2158.676,20155.407,13400.846,8847.865,32485.711,12119.137,6975.579,18704.506
"ACP (African, Caribbean and Pacific Group of States): LLDCs (Landlocked developing countries)",3.09,5.172,"..",1060.317,1653.832,8.183999999999999,54.84,0.054,0.2,77.81699999999999,117.572,390.71,351.831,212.43,339.478,2132.971,19805.993,12427.959,8704.245000000001,31465.059,11942.32,6064.941,16905.95
"ACP (African, Caribbean and Pacific Group of States): Islands states",31.194,55.095,140.608,110.64,38.422,203.082,105.061,121.451,115.608,734.456,533.146,645.132,884.501,635.8920000000001,1168.081,1684.708,2777.609,6985.961,7060.661,10682.885,13443.275,9918.454,18452.634
"ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty)",23.471,53.34,150.717,80.256,38.531,200.806,133.545,151.546,162.665,159.709,9.565,520.265,578.7619999999999,215.932,258.39,249.911,547.336,1331.639,1276.679,1587.066,1865.351,337.058,1294.257
"AMU (Arab Maghreb Union)","..","..","..",6.557,"..","..",512.414,90.249,72.758,578.6130000000001,34.099,45.315,0.4,134.893,41.582,1145.767,862.198,1425.208,6425.024,10380.167,6308.236,11169.186,8178.582
