"PRODUCT -   Medium technology manufactures: process (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Net food-exporting economies",2619598.606,2372888.188,2967080.118,2796653.849,3151530.922,4510696.58,4139564.702,5284874.426,7440427.473,12221598.637,17649752.137,22853466.031,31062713.887,38862136.246,25232807.296,34363551.129,48190345.525,50257572.586,52049501.01,60889286.288,63047592.808,57367952.256,64626870.307
"  Net food-exporting developing economies",1351315.136,1174729.398,1395974.014,965736.411,1184995.123,1592194.397,1428119.302,1910558.4,2800943.516,5274611.176,7482723.126,10138571.191,14827612.2,17847611.901,12313851.689,18844834.91,28109208.661,29458170.955,30916811.283,37255997.255,39806530.107,35606399.515,39278425.665
"  Net food-exporting transition economies",5519.256,6937.8,10604.581,14390.411,8131.233,17322.685,25739.688,27232.738,41626.412,111550.583,333330.612,383261.223,580082.091,974444.166,506201.733,751908.507,995520.157,1199464.181,1203480.925,880424.343,697092.4,840986.994,935013.1260000001
"  Net food-exporting developed economies",1262764.214,1191220.99,1560501.523,1816527.027,1958404.566,2901179.498,2685705.712,3347083.288,4597857.545,6835436.878,9833698.399,12331633.617,15655019.596,20040080.179,12412753.874,14766807.712,19085616.707,19599937.45,19929208.802,22752864.69,22543970.301,20920565.747,24413431.516
"Major net food-exporting economies",2585479.426,2339605.542,2930254.965,2748973.709,3097931.814,4436962.111,4035722.149,5163467.83,7241034.035,11932060.524,17167431.445,22289479.148,30306367.838,37919124.385,24384364.89,33379576.45,46827763.28,48724120.024,50103950.127,58788942.906,60722153.242,55144016.15,62217668.459
"BASIC",194510.142,212287.225,237077.933,199056.284,188443.136,682322.588,769482.38,945286.657,1376789.14,2146263.775,3166799.511,4553433.707,6724759.065,8124012.34,5754332.499,9517957.231000001,13810159.407,12933393.479,12595628.272,14824036.886,15151436.394,9351469.628000001,12211635.987
"BRICS",240107.294,254073.465,286281.611,245813.555,246156.097,746498.628,844187.964,1038092.297,1532002.748,2405417.274,3635513.666,5349849.684,8174600.339,10134901.278,6889131.591,11426916.75,16532181.617,15714432.125,15428313.45,17758569.776,17244278.042,11521948.6,14837416.888
"Industrialized economies (UNIDO)",8154066.092,6910023.44,7868932.64,6597639.547,6884149.941,9722491.75,8387217.715,9650929.869999999,12934290.957,19767172.648,25430201.175,31458563.201,41157300.302,50299154.197,32317701.387,42098288.088,55980720.074,54961486.025,55046495.924,61133668.421,57415140.311,55109891.109,63412726.031
"EIEs (Emerging Industrial Economies) (UNIDO)",1213964.492,1053005.289,1235944.232,945153.38,1042342.344,1857415.369,1908362.884,2365077.312,3281547.884,5768084.484,8836817.827,11314827.401,16594128.289,20980480.73,14471764.165,21256585.742,30368255.986,31905807.994,32183391.925,36055052.947,36611347.16,29903265.918,33709394.676
"Emerging markets",6298457.606,5419920.567,6358095.13,4449767.06,4611790.6,6563060.228,5796124.773,6614797.822,8829319.582,14815705.23,19377233.275,24563881.546,34034446.012,41527358.044,28417805.335,40288067.189,55666819.839,57530244.017,59204861.816,66496615.252,64185790.61,56557581.793,64265322.155
"  Emerging markets: Africa",129259.459,148304.222,435458.639,205754.153,212304.568,151357.755,203034.465,186997.99,267038.111,344883.355,563938.595,792787.032,1087983.377,1691308.064,1423356.877,1633679.406,2364013.379,2774734.325,3286025.87,3743624.643,3623015.214,2776175.932,3692179.272
"  Emerging markets: America",146573.102,178201.035,209193.663,245314.127,196824.415,348990.11,370282.761,464918.413,697355.728,1235164.603,1769911.963,2165737.93,3509371.009,4898055.552,3340368.884,5128765.522,8222523.694,8823562.616,9950471.313999999,11154733.403,10813219.474,8800806.395,9538527.052999999
"  Emerging markets: Asia",5919607.04,4990455.253,5586356.71,3856088.318,4050801.447,5879855.354,4993570.57,5652441.54,7362228.657,12394624.95,15501697.604,19579432.643,26076794.269,29717755.636,20376252.899,29554815.241,39763573.232,39792043.687,39943147.273,45950834.99,45446736.83,40466386.062,45720323.61
"  Emerging markets: Europe and Kazakhstan",103018.005,102960.057,127086.118,142610.462,151860.17,182857.009,229236.977,310439.879,502697.086,841032.322,1541685.113,2025923.941,3360297.357,5220238.792,3277826.675,3970807.02,5316709.534,6139903.389,6025217.359,5647422.216,4302819.092,4514213.404,5314292.22
"Africa excluding South Africa",169017.393,188676.087,480492.42,474697.492,309718.342,309920.141,420472.342,380617.362,583933.536,868438.997,1375616.17,1842624.229,2528200.57,4247503.663,4528022.194,4318452.217,4824855.563,5795874.82,6794259.233,7898752.324,7622184.084,7234078.91,8376433.885
"Northern Africa excluding Sudan",73331.16800000001,74578.626,64151.453,81236.663,100505.288,91522.375,85677.928,101938.947,166496.212,273915.584,445258.214,701932.846,1114921.984,2103190.475,2364410.796,2067895.366,1696779.806,2031312.415,2113249.775,2494495.348,2430750.319,2764548.009,2670138.598
"Sub-Saharan Africa",170614.546,189687.158,495572.266,465201.492,280196.416,274375.026,401600.284,364571.343,534972.291,792447.189,1182948.399,1448492.158,1858987.777,2754585.39,2628561.748,2874734.305,4068664.643,4749195.45,5678116.931,6604900.148,6618404.688,5350890.367,6794618.907
"Sub-Saharan Africa excluding South Africa",95686.22500000001,114097.461,416340.967,393460.829,209213.054,218397.766,334794.414,278678.415,417437.324,594523.4129999999,930357.956,1140691.383,1413278.586,2144313.188,2163611.398,2250556.851,3128075.757,3764562.405,4681009.458,5404256.976,5191433.765,4469530.901,5706295.287
"South America excluding Brazil",81087.696,85701.991,111499.887,131532.023,118907.22,176026.042,201750.089,211032.631,331921.927,573432.326,749993.563,1087820.155,1855190.755,2694643.816,1849714.991,2704248.895,4541572.685,4638957.158,5512577.834,5923351.688,5585192.283,4651264.284,4900739.332
